"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent Male!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent Male!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent Female!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent Female!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Percent!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Percent Male!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Percent Male!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Percent Female!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Percent Female!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Percent!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Percent Male!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Percent Male!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Percent Female!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Percent Female!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent Male!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent Male!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent Female!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent Female!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Percent!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Percent Male!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Percent Male!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Percent Female!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Percent Female!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Percent!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Percent Male!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Percent Male!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Percent Female!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Percent Female!!Margin of Error"
"        High school graduate or higher","388","±105","100.0%","±9.8","240","±94","100.0%","±15.3","148","±65","100.0%","±23.4","1,079","±292","100.0%","±3.6","622","±244","100.0%","±6.2","457","±117","100.0%","±8.4","808","±224","100.0%","±4.8","324","±125","100.0%","±11.6","484","±181","100.0%","±7.9","1,885","±474","99.0%","±1.7","1,053","±274","100.0%","±3.7","832","±291","97.8%","±3.8","1,062","±385","98.5%","±2.5","482","±218","100.0%","±8.0","580","±251","97.3%","±4.5","1,150","±251","98.4%","±2.6","464","±186","100.0%","±8.3","686","±158","97.3%","±4.3"
"        Bachelor's degree or higher","360","±105","92.8%","±7.8","228","±94","95.0%","±6.5","132","±64","89.2%","±12.8","982","±280","91.0%","±6.1","585","±238","94.1%","±5.5","397","±114","86.9%","±9.9","691","±212","85.5%","±7.5","294","±114","90.7%","±8.0","397","±176","82.0%","±11.6","1,801","±466","94.6%","±4.4","998","±259","94.8%","±6.8","803","±285","94.4%","±5.6","1,010","±378","93.7%","±5.2","439","±221","91.1%","±10.7","571","±252","95.8%","±5.3","860","±230","73.6%","±10.3","391","±163","84.3%","±16.4","469","±129","66.5%","±16.9"
"    Black alone","1,304","±250","(X)","(X)","498","±168","(X)","(X)","806","±188","(X)","(X)","436","±180","(X)","(X)","220","±134","(X)","(X)","216","±98","(X)","(X)","400","±205","(X)","(X)","132","±61","(X)","(X)","268","±188","(X)","(X)","972","±361","(X)","(X)","509","±261","(X)","(X)","463","±161","(X)","(X)","719","±213","(X)","(X)","367","±152","(X)","(X)","352","±154","(X)","(X)","315","±164","(X)","(X)","112","±93","(X)","(X)","203","±126","(X)","(X)"
"        High school graduate or higher","849","±193","65.1%","±7.5","320","±143","64.3%","±18.8","529","±166","65.6%","±11.0","419","±177","96.1%","±5.4","220","±134","100.0%","±16.6","199","±97","92.1%","±10.9","375","±198","93.8%","±10.0","132","±61","100.0%","±25.7","243","±184","90.7%","±16.1","706","±211","72.6%","±14.6","392","±198","77.0%","±14.3","314","±115","67.8%","±22.6","649","±212","90.3%","±7.5","346","±151","94.3%","±9.2","303","±157","86.1%","±15.2","315","±164","100.0%","±11.9","112","±93","100.0%","±29.2","203","±126","100.0%","±17.8"
"        Bachelor's degree or higher","290","±154","22.2%","±9.6","161","±102","32.3%","±17.0","129","±106","16.0%","±11.5","261","±110","59.9%","±18.5","113","±80","51.4%","±37.1","148","±91","68.5%","±22.5","218","±74","54.5%","±28.7","96","±53","72.7%","±24.5","122","±58","45.5%","±38.6","280","±123","28.8%","±13.4","140","±111","27.5%","±23.2","140","±84","30.2%","±15.2","426","±194","59.2%","±18.6","228","±139","62.1%","±26.1","198","±136","56.3%","±26.3","261","±150","82.9%","±20.1","112","±93","100.0%","±29.2","149","±108","73.4%","±29.5"
"    American Indian or Alaska Native alone","0","±13","(X)","(X)","0","±13","(X)","(X)","0","±13","(X)","(X)","21","±43","(X)","(X)","21","±43","(X)","(X)","0","±13","(X)","(X)","0","±13","(X)","(X)","0","±13","(X)","(X)","0","±13","(X)","(X)","0","±13","(X)","(X)","0","±13","(X)","(X)","0","±13","(X)","(X)","0","±13","(X)","(X)","0","±13","(X)","(X)","0","±13","(X)","(X)","0","±13","(X)","(X)","0","±13","(X)","(X)","0","±13","(X)","(X)"
"        High school graduate or higher","0","±13","-","**","0","±13","-","**","0","±13","-","**","21","±43","100.0%","±71.8","21","±43","100.0%","±71.8","0","±13","-","**","0","±13","-","**","0","±13","-","**","0","±13","-","**","0","±13","-","**","0","±13","-","**","0","±13","-","**","0","±13","-","**","0","±13","-","**","0","±13","-","**","0","±13","-","**","0","±13","-","**","0","±13","-","**"
"        Bachelor's degree or higher","0","±13","-","**","0","±13","-","**","0","±13","-","**","21","±43","100.0%","±71.8","21","±43","100.0%","±71.8","0","±13","-","**","0","±13","-","**","0","±13","-","**","0","±13","-","**","0","±13","-","**","0","±13","-","**","0","±13","-","**","0","±13","-","**","0","±13","-","**","0","±13","-","**","0","±13","-","**","0","±13","-","**","0","±13","-","**"
"    Asian alone","23","±21","(X)","(X)","22","±21","(X)","(X)","1","±2","(X)","(X)","164","±90","(X)","(X)","102","±73","(X)","(X)","62","±55","(X)","(X)","37","±46","(X)","(X)","8","±13","(X)","(X)","29","±45","(X)","(X)","120","±69","(X)","(X)","17","±29","(X)","(X)","103","±60","(X)","(X)","29","±33","(X)","(X)","0","±13","(X)","(X)","29","±33","(X)","(X)","40","±54","(X)","(X)","24","±33","(X)","(X)","16","±26","(X)","(X)"
"        High school graduate or higher","14","±22","60.9%","±54.7","13","±22","59.1%","±58.9","1","±2","100.0%","±100.0","164","±90","100.0%","±21.4","102","±73","100.0%","±31.3","62","±55","100.0%","±41.8","37","±46","100.0%","±54.1","8","±13","100.0%","±100.0","29","±45","100.0%","±61.1","120","±69","100.0%","±27.7","17","±29","100.0%","±79.8","103","±60","100.0%","±31.1","29","±33","100.0%","±61.1","0","±13","-","**","29","±33","100.0%","±61.1","40","±54","100.0%","±52.0","24","±33","100.0%","±67.2","16","±26","100.0%","±82.2"
"        Bachelor's degree or higher","1","±2","4.3%","±10.5","0","±13","0.0%","±70.1","1","±2","100.0%","±100.0","133","±78","81.1%","±26.3","71","±56","69.6%","±38.5","62","±55","100.0%","±41.8","37","±46","100.0%","±54.1","8","±13","100.0%","±100.0","29","±45","100.0%","±61.1","103","±60","85.8%","±20.5","0","±13","0.0%","±79.8","103","±60","100.0%","±31.1","29","±33","100.0%","±61.1","0","±13","-","**","29","±33","100.0%","±61.1","40","±54","100.0%","±52.0","24","±33","100.0%","±67.2","16","±26","100.0%","±82.2"
"    Native Hawaiian and Other Pacific Islander alone","0","±13","(X)","(X)","0","±13","(X)","(X)","0","±13","(X)","(X)","0","±13","(X)","(X)","0","±13","(X)","(X)","0","±13","(X)","(X)","0","±13","(X)","(X)","0","±13","(X)","(X)","0","±13","(X)","(X)","8","±14","(X)","(X)","0","±13","(X)","(X)","8","±14","(X)","(X)","0","±13","(X)","(X)","0","±13","(X)","(X)","0","±13","(X)","(X)","0","±13","(X)","(X)","0","±13","(X)","(X)","0","±13","(X)","(X)"
"        High school graduate or higher","0","±13","-","**","0","±13","-","**","0","±13","-","**","0","±13","-","**","0","±13","-","**","0","±13","-","**","0","±13","-","**","0","±13","-","**","0","±13","-","**","8","±14","100.0%","±100.0","0","±13","-","**","8","±14","100.0%","±100.0","0","±13","-","**","0","±13","-","**","0","±13","-","**","0","±13","-","**","0","±13","-","**","0","±13","-","**"
"        Bachelor's degree or higher","0","±13","-","**","0","±13","-","**","0","±13","-","**","0","±13","-","**","0","±13","-","**","0","±13","-","**","0","±13","-","**","0","±13","-","**","0","±13","-","**","8","±14","100.0%","±100.0","0","±13","-","**","8","±14","100.0%","±100.0","0","±13","-","**","0","±13","-","**","0","±13","-","**","0","±13","-","**","0","±13","-","**","0","±13","-","**"
"    Some other race alone","10","±15","(X)","(X)","0","±13","(X)","(X)","10","±15","(X)","(X)","38","±57","(X)","(X)","0","±13","(X)","(X)","38","±57","(X)","(X)","13","±20","(X)","(X)","11","±19","(X)","(X)","2","±4","(X)","(X)","34","±38","(X)","(X)","15","±25","(X)","(X)","19","±29","(X)","(X)","0","±13","(X)","(X)","0","±13","(X)","(X)","0","±13","(X)","(X)","31","±37","(X)","(X)","17","±27","(X)","(X)","14","±23","(X)","(X)"
"        High school graduate or higher","10","±15","100.0%","±100.0","0","±13","-","**","10","±15","100.0%","±100.0","38","±57","100.0%","±53.4","0","±13","-","**","38","±57","100.0%","±53.4","13","±20","100.0%","±91.2","11","±19","100.0%","±99.2","2","±4","100.0%","±100.0","34","±38","100.0%","±56.4","15","±25","100.0%","±84.9","19","±29","100.0%","±75.5","0","±13","-","**","0","±13","-","**","0","±13","-","**","31","±37","100.0%","±59.1","17","±27","100.0%","±79.8","14","±23","100.0%","±87.9"
"        Bachelor's degree or higher","0","±13","0.0%","±100.0","0","±13","-","**","0","±13","0.0%","±100.0","38","±57","100.0%","±53.4","0","±13","-","**","38","±57","100.0%","±53.4","13","±20","100.0%","±91.2","11","±19","100.0%","±99.2","2","±4","100.0%","±100.0","34","±38","100.0%","±56.4","15","±25","100.0%","±84.9","19","±29","100.0%","±75.5","0","±13","-","**","0","±13","-","**","0","±13","-","**","14","±23","45.2%","±54.8","0","±13","0.0%","±79.8","14","±23","100.0%","±87.9"
"    Two or more races","38","±36","(X)","(X)","21","±30","(X)","(X)","17","±21","(X)","(X)","119","±87","(X)","(X)","62","±63","(X)","(X)","57","±57","(X)","(X)","4","±5","(X)","(X)","4","±5","(X)","(X)","0","±13","(X)","(X)","179","±116","(X)","(X)","106","±111","(X)","(X)","73","±54","(X)","(X)","107","±83","(X)","(X)","43","±71","(X)","(X)","64","±77","(X)","(X)","97","±97","(X)","(X)","14","±22","(X)","(X)","83","±96","(X)","(X)"
"        High school graduate or higher","38","±36","100.0%","±53.4","21","±30","100.0%","±71.8","17","±21","100.0%","±79.8","119","±87","100.0%","±27.9","62","±63","100.0%","±41.8","57","±57","100.0%","±43.6","4","±5","100.0%","±100.0","4","±5","100.0%","±100.0","0","±13","-","**","166","±121","92.7%","±13.3","106","±111","100.0%","±30.4","60","±59","82.2%","±28.3","61","±78","57.0%","±57.0","43","±71","100.0%","±50.2","18","±29","28.1%","±57.7","97","±97","100.0%","±32.4","14","±22","100.0%","±87.9","83","±96","100.0%","±35.9"
"        Bachelor's degree or higher","8","±13","21.1%","±37.1","0","±13","0.0%","±71.8","8","±13","47.1%","±52.9","119","±87","100.0%","±27.9","62","±63","100.0%","±41.8","57","±57","100.0%","±43.6","4","±5","100.0%","±100.0","4","±5","100.0%","±100.0","0","±13","-","**","141","±123","78.8%","±34.1","106","±111","100.0%","±30.4","35","±34","47.9%","±48.0","43","±71","40.2%","±59.0","43","±71","100.0%","±50.2","0","±13","0.0%","±41.1","83","±96","85.6%","±29.7","0","±13","0.0%","±87.9","83","±96","100.0%","±35.9"
"    Hispanic or Latino Origin","37","±31","(X)","(X)","0","±13","(X)","(X)","37","±31","(X)","(X)","205","±126","(X)","(X)","107","±100","(X)","(X)","98","±88","(X)","(X)","81","±61","(X)","(X)","38","±34","(X)","(X)","43","±52","(X)","(X)","233","±135","(X)","(X)","120","±77","(X)","(X)","113","±98","(X)","(X)","348","±367","(X)","(X)","131","±148","(X)","(X)","217","±226","(X)","(X)","78","±73","(X)","(X)","64","±81","(X)","(X)","14","±23","(X)","(X)"
"        High school graduate or higher","37","±31","100.0%","±54.1","0","±13","-","**","37","±31","100.0%","±54.1","205","±126","100.0%","±17.6","107","±100","100.0%","±30.2","98","±88","100.0%","±32.2","71","±57","87.7%","±19.8","28","±33","73.7%","±43.8","43","±52","100.0%","±50.2","233","±135","100.0%","±15.7","120","±77","100.0%","±27.7","113","±98","100.0%","±29.0","348","±367","100.0%","±10.8","131","±148","100.0%","±25.8","217","±226","100.0%","±16.8","78","±73","100.0%","±37.2","64","±81","100.0%","±41.1","14","±23","100.0%","±87.9"
"        Bachelor's degree or higher","27","±26","73.0%","±37.4","0","±13","-","**","27","±26","73.0%","±37.4","205","±126","100.0%","±17.6","107","±100","100.0%","±30.2","98","±88","100.0%","±32.2","63","±57","77.8%","±35.9","28","±33","73.7%","±43.8","35","±50","81.4%","±44.2","185","±101","79.4%","±23.0","97","±65","80.8%","±27.9","88","±73","77.9%","±39.5","186","±151","53.4%","±31.9","35","±41","26.7%","±48.6","151","±139","69.6%","±23.0","61","±68","78.2%","±35.9","47","±76","73.4%","±55.0","14","±23","100.0%","±87.9"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","65.9%","±14.8","(X)","(X)","72.2%","±22.8","(X)","(X)","61.7%","±18.9","(X)","(X)","0.0%","±79.8","(X)","(X)","-","**","(X)","(X)","0.0%","±79.8","(X)","(X)","71.4%","±55.2","(X)","(X)","0.0%","±100.0","(X)","(X)","100.0%","±65.8","(X)","(X)","71.5%","±34.6","(X)","(X)","54.7%","±51.0","(X)","(X)","82.3%","±26.2","(X)","(X)","15.9%","±28.1","(X)","(X)","0.0%","±71.8","(X)","(X)","18.9%","±30.7","(X)","(X)","100.0%","±75.5","(X)","(X)","-","**","(X)","(X)","100.0%","±75.5"
"    High school graduate (includes equivalency)","(X)","(X)","37.9%","±18.8","(X)","(X)","26.0%","±26.0","(X)","(X)","44.9%","±24.5","(X)","(X)","0.0%","±100.0","(X)","(X)","0.0%","±100.0","(X)","(X)","-","**","(X)","(X)","24.4%","±26.3","(X)","(X)","0.0%","±91.2","(X)","(X)","35.7%","±43.9","(X)","(X)","62.6%","±26.5","(X)","(X)","64.6%","±49.7","(X)","(X)","60.6%","±31.5","(X)","(X)","6.1%","±16.5","(X)","(X)","9.4%","±26.5","(X)","(X)","0.0%","±33.1","(X)","(X)","0.0%","±23.6","(X)","(X)","0.0%","±43.2","(X)","(X)","0.0%","±34.6"
"    Some college or associate's degree","(X)","(X)","38.0%","±26.6","(X)","(X)","0.0%","±46.1","(X)","(X)","49.4%","±32.6","(X)","(X)","6.2%","±10.0","(X)","(X)","0.0%","±21.3","(X)","(X)","15.3%","±25.7","(X)","(X)","0.0%","±15.2","(X)","(X)","0.0%","±45.2","(X)","(X)","0.0%","±19.0","(X)","(X)","35.0%","±24.4","(X)","(X)","46.4%","±28.9","(X)","(X)","13.2%","±21.6","(X)","(X)","9.4%","±15.7","(X)","(X)","0.0%","±34.9","(X)","(X)","17.3%","±29.2","(X)","(X)","34.9%","±36.5","(X)","(X)","0.0%","±48.5","(X)","(X)","43.7%","±42.0"
"    Bachelor's degree or higher","(X)","(X)","6.4%","±6.3","(X)","(X)","6.7%","±7.8","(X)","(X)","6.1%","±9.3","(X)","(X)","5.4%","±4.7","(X)","(X)","5.8%","±6.0","(X)","(X)","4.8%","±5.2","(X)","(X)","4.0%","±5.1","(X)","(X)","1.9%","±3.0","(X)","(X)","5.7%","±8.5","(X)","(X)","6.0%","±5.3","(X)","(X)","7.7%","±8.5","(X)","(X)","4.2%","±4.1","(X)","(X)","3.4%","±5.3","(X)","(X)","7.7%","±11.6","(X)","(X)","0.0%","±4.1","(X)","(X)","1.5%","±2.5","(X)","(X)","0.0%","±6.9","(X)","(X)","2.7%","±4.3"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over with earnings","59,773","±28,117","(X)","(X)","65,202","±27,741","(X)","(X)","-","**","(X)","(X)","90,421","±13,364","(X)","(X)","92,639","±17,431","(X)","(X)","73,508","±7,451","(X)","(X)","79,091","±34,400","(X)","(X)","120,833","±73,935","(X)","(X)","70,625","±45,802","(X)","(X)","81,601","±17,026","(X)","(X)","80,175","±12,833","(X)","(X)","86,542","±31,378","(X)","(X)","64,924","±13,508","(X)","(X)","85,008","±38,316","(X)","(X)","63,565","±7,989","(X)","(X)","71,691","±18,500","(X)","(X)","69,016","±30,805","(X)","(X)","72,616","±21,971","(X)","(X)"
"        Less than high school graduate","-","**","(X)","(X)","20,321","±19,505","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)","21,992","±1,811","(X)","(X)","-","**","(X)","(X)","21,250","±4,542","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)"
"        High school graduate (includes equivalency)","21,029","±20,496","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)","33,750","±17,917","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)"
"        Some college or associate's degree","-","**","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)","82,217","±20,437","(X)","(X)","81,717","±51,460","(X)","(X)","86,974","±23,977","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)","70,068","±45,257","(X)","(X)","70,773","±22,409","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)","85,625","±71,686","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)","56,250","±43,322","(X)","(X)","-","**","(X)","(X)"
"        Bachelor's degree","73,972","±4,568","(X)","(X)","73,906","±42,903","(X)","(X)","73,979","±4,869","(X)","(X)","83,988","±26,280","(X)","(X)","91,552","±7,037","(X)","(X)","50,721","±16,823","(X)","(X)","76,094","±53,593","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)","86,667","±28,789","(X)","(X)","70,645","±26,967","(X)","(X)","103,017","±15,705","(X)","(X)","61,387","±5,458","(X)","(X)","61,250","±7,461","(X)","(X)","61,572","±28,051","(X)","(X)","100,335","±81,788","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)"
"        Graduate or professional degree","113,594","±49,508","(X)","(X)","-","**","(X)","(X)","114,375","±61,188","(X)","(X)","101,319","±13,122","(X)","(X)","137,734","±17,783","(X)","(X)","76,000","±33,646","(X)","(X)","120,655","±30,504","(X)","(X)","130,216","±51,314","(X)","(X)","108,913","±18,571","(X)","(X)","90,911","±18,383","(X)","(X)","89,800","±13,499","(X)","(X)","91,719","±36,348","(X)","(X)","87,959","±14,155","(X)","(X)","88,429","±2,340","(X)","(X)","-","**","(X)","(X)","81,167","±28,830","(X)","(X)","68,351","±42,053","(X)","(X)","99,355","±21,498","(X)","(X)"
