"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent Male!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent Male!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent Female!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent Female!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Percent!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Percent Male!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Percent Male!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Percent Female!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Percent Female!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Percent!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Percent Male!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Percent Male!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Percent Female!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Percent Female!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent Male!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent Male!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent Female!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent Female!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Percent!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Percent Male!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Percent Male!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Percent Female!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Percent Female!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Percent!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Percent Male!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Percent Male!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Percent Female!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Percent Female!!Margin of Error"
"        High school graduate or higher","467","±118","100.0%","±9.2","302","±98","100.0%","±13.8","165","±67","100.0%","±23.6","1,046","±253","100.0%","±4.2","565","±171","100.0%","±7.7","481","±146","100.0%","±8.9","819","±204","100.0%","±5.3","405","±135","100.0%","±10.5","414","±151","100.0%","±10.3","1,703","±464","96.9%","±3.5","825","±249","95.9%","±5.7","878","±258","97.8%","±3.9","1,005","±324","100.0%","±4.4","512","±203","100.0%","±8.4","493","±178","100.0%","±8.7","961","±209","98.2%","±2.8","447","±131","100.0%","±9.6","514","±136","96.6%","±5.1"
"        Bachelor's degree or higher","432","±115","92.5%","±6.5","278","±100","92.1%","±8.1","154","±67","93.3%","±8.6","967","±240","92.4%","±7.2","527","±166","93.3%","±7.5","440","±137","91.5%","±8.1","720","±191","87.9%","±6.7","378","±135","93.3%","±7.7","342","±147","82.6%","±12.2","1,593","±480","90.6%","±6.6","810","±248","94.2%","±6.3","783","±276","87.2%","±10.4","945","±304","94.0%","±5.7","461","±193","90.0%","±11.1","484","±177","98.2%","±3.0","811","±190","82.8%","±9.2","420","±121","94.0%","±6.3","391","±117","73.5%","±15.7"
"    Black alone","1,245","±260","(X)","(X)","497","±171","(X)","(X)","748","±190","(X)","(X)","646","±259","(X)","(X)","382","±225","(X)","(X)","264","±131","(X)","(X)","518","±251","(X)","(X)","181","±75","(X)","(X)","337","±240","(X)","(X)","1,122","±239","(X)","(X)","539","±189","(X)","(X)","583","±154","(X)","(X)","734","±211","(X)","(X)","353","±146","(X)","(X)","381","±181","(X)","(X)","218","±107","(X)","(X)","35","±41","(X)","(X)","183","±103","(X)","(X)"
"        High school graduate or higher","732","±212","58.8%","±9.3","328","±153","66.0%","±18.9","404","±158","54.0%","±12.7","625","±258","96.7%","±4.8","382","±225","100.0%","±11.1","243","±128","92.0%","±11.6","495","±246","95.6%","±7.4","181","±75","100.0%","±21.8","314","±235","93.2%","±12.0","896","±185","79.9%","±9.5","463","±178","85.9%","±11.4","433","±128","74.3%","±14.2","647","±211","88.1%","±9.7","328","±142","92.9%","±10.4","319","±183","83.7%","±18.2","218","±107","100.0%","±18.5","35","±41","100.0%","±59.0","183","±103","100.0%","±21.6"
"        Bachelor's degree or higher","293","±135","23.5%","±8.3","157","±95","31.6%","±13.1","136","±91","18.2%","±10.6","433","±214","67.0%","±17.5","271","±187","70.9%","±27.7","162","±98","61.4%","±18.2","284","±96","54.8%","±27.9","127","±65","70.2%","±23.2","157","±70","46.6%","±37.9","427","±165","38.1%","±12.5","246","±135","45.6%","±23.1","181","±112","31.0%","±15.6","463","±190","63.1%","±18.2","209","±143","59.2%","±32.0","254","±171","66.7%","±21.9","144","±83","66.1%","±28.2","14","±22","40.0%","±57.7","130","±82","71.0%","±30.8"
"    American Indian or Alaska Native alone","0","±14","(X)","(X)","0","±14","(X)","(X)","0","±14","(X)","(X)","0","±14","(X)","(X)","0","±14","(X)","(X)","0","±14","(X)","(X)","0","±14","(X)","(X)","0","±14","(X)","(X)","0","±14","(X)","(X)","0","±14","(X)","(X)","0","±14","(X)","(X)","0","±14","(X)","(X)","0","±14","(X)","(X)","0","±14","(X)","(X)","0","±14","(X)","(X)","0","±14","(X)","(X)","0","±14","(X)","(X)","0","±14","(X)","(X)"
"        High school graduate or higher","0","±14","-","**","0","±14","-","**","0","±14","-","**","0","±14","-","**","0","±14","-","**","0","±14","-","**","0","±14","-","**","0","±14","-","**","0","±14","-","**","0","±14","-","**","0","±14","-","**","0","±14","-","**","0","±14","-","**","0","±14","-","**","0","±14","-","**","0","±14","-","**","0","±14","-","**","0","±14","-","**"
"        Bachelor's degree or higher","0","±14","-","**","0","±14","-","**","0","±14","-","**","0","±14","-","**","0","±14","-","**","0","±14","-","**","0","±14","-","**","0","±14","-","**","0","±14","-","**","0","±14","-","**","0","±14","-","**","0","±14","-","**","0","±14","-","**","0","±14","-","**","0","±14","-","**","0","±14","-","**","0","±14","-","**","0","±14","-","**"
"    Asian alone","18","±18","(X)","(X)","17","±19","(X)","(X)","1","±2","(X)","(X)","145","±67","(X)","(X)","116","±63","(X)","(X)","29","±35","(X)","(X)","59","±63","(X)","(X)","9","±15","(X)","(X)","50","±61","(X)","(X)","117","±64","(X)","(X)","14","±22","(X)","(X)","103","±60","(X)","(X)","26","±31","(X)","(X)","0","±14","(X)","(X)","26","±31","(X)","(X)","68","±67","(X)","(X)","45","±43","(X)","(X)","23","±33","(X)","(X)"
"        High school graduate or higher","11","±19","61.1%","±61.1","10","±19","58.8%","±58.8","1","±2","100.0%","±100.0","145","±67","100.0%","±26.2","116","±63","100.0%","±31.0","29","±35","100.0%","±64.8","59","±63","100.0%","±45.4","9","±15","100.0%","±100.0","50","±61","100.0%","±49.3","117","±64","100.0%","±30.9","14","±22","100.0%","±93.3","103","±60","100.0%","±33.7","26","±31","100.0%","±68.4","0","±14","-","**","26","±31","100.0%","±68.4","68","±67","100.0%","±42.3","45","±43","100.0%","±52.0","23","±33","100.0%","±72.8"
"        Bachelor's degree or higher","1","±2","5.6%","±13.8","0","±14","0.0%","±84.6","1","±2","100.0%","±100.0","128","±67","88.3%","±17.2","99","±56","85.3%","±20.3","29","±35","100.0%","±64.8","59","±63","100.0%","±45.4","9","±15","100.0%","±100.0","50","±61","100.0%","±49.3","117","±64","100.0%","±30.9","14","±22","100.0%","±93.3","103","±60","100.0%","±33.7","26","±31","100.0%","±68.4","0","±14","-","**","26","±31","100.0%","±68.4","68","±67","100.0%","±42.3","45","±43","100.0%","±52.0","23","±33","100.0%","±72.8"
"    Native Hawaiian and Other Pacific Islander alone","0","±14","(X)","(X)","0","±14","(X)","(X)","0","±14","(X)","(X)","0","±14","(X)","(X)","0","±14","(X)","(X)","0","±14","(X)","(X)","0","±14","(X)","(X)","0","±14","(X)","(X)","0","±14","(X)","(X)","14","±25","(X)","(X)","0","±14","(X)","(X)","14","±25","(X)","(X)","0","±14","(X)","(X)","0","±14","(X)","(X)","0","±14","(X)","(X)","0","±14","(X)","(X)","0","±14","(X)","(X)","0","±14","(X)","(X)"
"        High school graduate or higher","0","±14","-","**","0","±14","-","**","0","±14","-","**","0","±14","-","**","0","±14","-","**","0","±14","-","**","0","±14","-","**","0","±14","-","**","0","±14","-","**","14","±25","100.0%","±93.3","0","±14","-","**","14","±25","100.0%","±93.3","0","±14","-","**","0","±14","-","**","0","±14","-","**","0","±14","-","**","0","±14","-","**","0","±14","-","**"
"        Bachelor's degree or higher","0","±14","-","**","0","±14","-","**","0","±14","-","**","0","±14","-","**","0","±14","-","**","0","±14","-","**","0","±14","-","**","0","±14","-","**","0","±14","-","**","14","±25","100.0%","±93.3","0","±14","-","**","14","±25","100.0%","±93.3","0","±14","-","**","0","±14","-","**","0","±14","-","**","0","±14","-","**","0","±14","-","**","0","±14","-","**"
"    Some other race alone","21","±26","(X)","(X)","0","±14","(X)","(X)","21","±26","(X)","(X)","37","±58","(X)","(X)","0","±14","(X)","(X)","37","±58","(X)","(X)","74","±65","(X)","(X)","42","±40","(X)","(X)","32","±30","(X)","(X)","38","±45","(X)","(X)","19","±31","(X)","(X)","19","±30","(X)","(X)","0","±14","(X)","(X)","0","±14","(X)","(X)","0","±14","(X)","(X)","25","±29","(X)","(X)","14","±24","(X)","(X)","11","±16","(X)","(X)"
"        High school graduate or higher","21","±26","100.0%","±76.1","0","±14","-","**","21","±26","100.0%","±76.1","37","±58","100.0%","±57.4","0","±14","-","**","37","±58","100.0%","±57.4","19","±28","25.7%","±36.0","17","±28","40.5%","±46.9","2","±4","6.3%","±19.2","38","±45","100.0%","±56.6","19","±31","100.0%","±80.1","19","±30","100.0%","±80.1","0","±14","-","**","0","±14","-","**","0","±14","-","**","25","±29","100.0%","±69.8","14","±24","100.0%","±93.3","11","±16","100.0%","±100.0"
"        Bachelor's degree or higher","10","±16","47.6%","±52.4","0","±14","-","**","10","±16","47.6%","±52.4","37","±58","100.0%","±57.4","0","±14","-","**","37","±58","100.0%","±57.4","19","±28","25.7%","±36.0","17","±28","40.5%","±46.9","2","±4","6.3%","±19.2","38","±45","100.0%","±56.6","19","±31","100.0%","±80.1","19","±30","100.0%","±80.1","0","±14","-","**","0","±14","-","**","0","±14","-","**","11","±16","44.0%","±56.0","0","±14","0.0%","±93.3","11","±16","100.0%","±100.0"
"    Two or more races","33","±31","(X)","(X)","0","±14","(X)","(X)","33","±31","(X)","(X)","148","±93","(X)","(X)","74","±61","(X)","(X)","74","±74","(X)","(X)","104","±96","(X)","(X)","82","±87","(X)","(X)","22","±36","(X)","(X)","212","±141","(X)","(X)","128","±120","(X)","(X)","84","±65","(X)","(X)","116","±90","(X)","(X)","20","±34","(X)","(X)","96","±98","(X)","(X)","105","±95","(X)","(X)","51","±50","(X)","(X)","54","±79","(X)","(X)"
"        High school graduate or higher","33","±31","100.0%","±60.7","0","±14","-","**","33","±31","100.0%","±60.7","148","±93","100.0%","±25.8","74","±61","100.0%","±40.6","74","±74","100.0%","±40.6","104","±96","100.0%","±33.5","82","±87","100.0%","±38.5","22","±36","100.0%","±74.4","196","±138","92.5%","±12.8","128","±120","100.0%","±28.9","68","±60","81.0%","±30.0","62","±60","53.4%","±53.4","20","±34","100.0%","±78.0","42","±50","43.8%","±56.1","105","±95","100.0%","±33.3","51","±50","100.0%","±48.9","54","±79","100.0%","±47.5"
"        Bachelor's degree or higher","12","±19","36.4%","±47.3","0","±14","-","**","12","±19","36.4%","±47.3","148","±93","100.0%","±25.8","74","±61","100.0%","±40.6","74","±74","100.0%","±40.6","80","±68","76.9%","±23.9","58","±56","70.7%","±27.0","22","±36","100.0%","±74.4","176","±131","83.0%","±21.7","128","±120","100.0%","±28.9","48","±45","57.1%","±38.5","20","±34","17.2%","±35.7","20","±34","100.0%","±78.0","0","±14","0.0%","±35.3","54","±79","51.4%","±51.2","0","±14","0.0%","±48.9","54","±79","100.0%","±47.5"
"    Hispanic or Latino Origin","21","±26","(X)","(X)","0","±14","(X)","(X)","21","±26","(X)","(X)","201","±134","(X)","(X)","125","±122","(X)","(X)","76","±66","(X)","(X)","142","±93","(X)","(X)","81","±84","(X)","(X)","61","±53","(X)","(X)","254","±132","(X)","(X)","137","±91","(X)","(X)","117","±97","(X)","(X)","404","±423","(X)","(X)","184","±203","(X)","(X)","220","±230","(X)","(X)","66","±49","(X)","(X)","55","±53","(X)","(X)","11","±16","(X)","(X)"
"        High school graduate or higher","21","±26","100.0%","±76.1","0","±14","-","**","21","±26","100.0%","±76.1","201","±134","100.0%","±19.9","125","±122","100.0%","±29.4","76","±66","100.0%","±40.0","112","±91","78.9%","±23.7","81","±84","100.0%","±38.8","31","±44","50.8%","±49.3","254","±132","100.0%","±16.2","137","±91","100.0%","±27.4","117","±97","100.0%","±30.9","404","±423","100.0%","±10.5","184","±203","100.0%","±21.5","220","±230","100.0%","±18.4","66","±49","100.0%","±43.0","55","±53","100.0%","±47.1","11","±16","100.0%","±100.0"
"        Bachelor's degree or higher","10","±16","47.6%","±52.4","0","±14","-","**","10","±16","47.6%","±52.4","201","±134","100.0%","±19.9","125","±122","100.0%","±29.4","76","±66","100.0%","±40.0","88","±63","62.0%","±19.2","57","±53","70.4%","±25.8","31","±44","50.8%","±49.3","208","±128","81.9%","±21.4","111","±84","81.0%","±27.6","97","±95","82.9%","±32.5","183","±143","45.3%","±36.0","51","±52","27.7%","±44.6","132","±120","60.0%","±29.2","43","±41","65.2%","±42.5","32","±44","58.2%","±53.9","11","±16","100.0%","±100.0"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","71.7%","±12.8","(X)","(X)","75.6%","±21.7","(X)","(X)","69.8%","±16.3","(X)","(X)","4.8%","±24.1","(X)","(X)","-","**","(X)","(X)","4.8%","±24.1","(X)","(X)","29.5%","±43.0","(X)","(X)","0.0%","±69.8","(X)","(X)","43.4%","±50.1","(X)","(X)","45.5%","±32.8","(X)","(X)","27.0%","±33.0","(X)","(X)","56.5%","±35.0","(X)","(X)","15.6%","±32.9","(X)","(X)","0.0%","±69.8","(X)","(X)","19.0%","±39.4","(X)","(X)","100.0%","±82.2","(X)","(X)","-","**","(X)","(X)","100.0%","±82.2"
"    High school graduate (includes equivalency)","(X)","(X)","44.6%","±21.1","(X)","(X)","24.0%","±33.1","(X)","(X)","58.1%","±25.7","(X)","(X)","0.0%","±100.0","(X)","(X)","0.0%","±100.0","(X)","(X)","-","**","(X)","(X)","4.4%","±14.1","(X)","(X)","0.0%","±59.8","(X)","(X)","18.2%","±56.4","(X)","(X)","64.2%","±20.0","(X)","(X)","43.8%","±43.4","(X)","(X)","72.3%","±22.2","(X)","(X)","6.3%","±15.9","(X)","(X)","0.0%","±20.5","(X)","(X)","16.3%","±38.1","(X)","(X)","0.0%","±33.5","(X)","(X)","0.0%","±69.8","(X)","(X)","0.0%","±39.3"
"    Some college or associate's degree","(X)","(X)","43.5%","±21.4","(X)","(X)","0.0%","±39.0","(X)","(X)","72.5%","±24.2","(X)","(X)","10.0%","±16.9","(X)","(X)","0.0%","±24.5","(X)","(X)","23.0%","±35.3","(X)","(X)","0.0%","±14.4","(X)","(X)","0.0%","±41.4","(X)","(X)","0.0%","±18.5","(X)","(X)","35.6%","±28.8","(X)","(X)","62.2%","±39.8","(X)","(X)","8.7%","±11.7","(X)","(X)","11.6%","±19.6","(X)","(X)","0.0%","±32.4","(X)","(X)","27.2%","±41.4","(X)","(X)","23.3%","±32.7","(X)","(X)","0.0%","±39.3","(X)","(X)","42.3%","±48.4"
"    Bachelor's degree or higher","(X)","(X)","3.9%","±5.3","(X)","(X)","6.7%","±8.9","(X)","(X)","0.0%","±13.4","(X)","(X)","5.8%","±3.6","(X)","(X)","4.4%","±3.9","(X)","(X)","7.8%","±7.1","(X)","(X)","5.5%","±6.0","(X)","(X)","6.1%","±10.3","(X)","(X)","4.8%","±6.8","(X)","(X)","3.6%","±4.5","(X)","(X)","7.2%","±8.8","(X)","(X)","0.0%","±3.6","(X)","(X)","0.0%","±2.7","(X)","(X)","0.0%","±5.9","(X)","(X)","0.0%","±4.9","(X)","(X)","2.8%","±3.1","(X)","(X)","0.0%","±8.6","(X)","(X)","5.1%","±5.5"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over with earnings","63,906","±19,501","(X)","(X)","63,750","±28,252","(X)","(X)","63,958","±39,874","(X)","(X)","86,292","±9,762","(X)","(X)","95,588","±16,720","(X)","(X)","69,018","±18,963","(X)","(X)","83,935","±30,799","(X)","(X)","128,611","±40,392","(X)","(X)","63,217","±28,785","(X)","(X)","87,778","±15,013","(X)","(X)","83,125","±10,661","(X)","(X)","95,273","±24,148","(X)","(X)","77,623","±18,979","(X)","(X)","90,183","±24,004","(X)","(X)","69,420","±14,590","(X)","(X)","89,207","±22,166","(X)","(X)","89,231","±20,181","(X)","(X)","89,152","±41,455","(X)","(X)"
"        Less than high school graduate","17,670","±13,916","(X)","(X)","-","**","(X)","(X)","11,742","±10,553","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)","25,306","±3,465","(X)","(X)","-","**","(X)","(X)","24,063","±5,246","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)"
"        High school graduate (includes equivalency)","-","**","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)","48,162","±40,520","(X)","(X)","-","**","(X)","(X)","36,250","±26,547","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)","2,500-","***","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)"
"        Some college or associate's degree","31,838","±24,950","(X)","(X)","42,697","±26,002","(X)","(X)","2,500-","***","(X)","(X)","86,006","±7,630","(X)","(X)","86,494","±14,511","(X)","(X)","74,861","±35,942","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)","44,186","±8,209","(X)","(X)","-","**","(X)","(X)","44,659","±15,773","(X)","(X)","90,043","±87,138","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)","72,266","±40,177","(X)","(X)","108,529","±91,912","(X)","(X)","-","**","(X)","(X)"
"        Bachelor's degree","82,531","±10,884","(X)","(X)","84,919","±70,750","(X)","(X)","79,080","±4,139","(X)","(X)","86,898","±22,158","(X)","(X)","95,294","±11,048","(X)","(X)","53,233","±15,039","(X)","(X)","74,519","±42,665","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)","92,059","±21,764","(X)","(X)","70,694","±21,955","(X)","(X)","108,415","±10,029","(X)","(X)","64,663","±6,408","(X)","(X)","63,587","±13,647","(X)","(X)","66,351","±7,898","(X)","(X)","56,659","±20,598","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)"
"        Graduate or professional degree","119,875","±31,159","(X)","(X)","-","**","(X)","(X)","123,750","±11,932","(X)","(X)","86,641","±32,686","(X)","(X)","132,727","±54,594","(X)","(X)","76,602","±16,164","(X)","(X)","129,787","±22,639","(X)","(X)","147,455","±36,962","(X)","(X)","110,871","±22,009","(X)","(X)","95,516","±20,111","(X)","(X)","89,365","±16,375","(X)","(X)","103,438","±24,704","(X)","(X)","93,642","±18,460","(X)","(X)","92,378","±8,324","(X)","(X)","145,684","±77,194","(X)","(X)","111,346","±34,169","(X)","(X)","89,500","±35,277","(X)","(X)","117,344","±32,647","(X)","(X)"
